Champion,Cost,Role,Damage Type,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s)
Kayle,1 Gold,Marksman,AP,Demacia,,Slayer,,4,Scaling Auto Attacker,Passive scales with Tactician level. Lvl 1: attacks deal bonus damage. Lvl 6: every 3rd attack launches a wave dealing damage and 20% Shred MR for 3s. Lvl 9: every attack launches a farther wave.,0.1,Passive,On Attack,Lvl 1-5,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Attack,Damage,30/45/70% AP,—,—,Once,—
,,,,,,,,,,,,,On 3rd Attack,Lvl 6-8,,Pierce Projectile,,default,unknown,,,,,,Enemies in path,Attack,Damage,30/45/70% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Debuff,MR,20%,—,—,Once,3
,,,,,,,,,,,,,On Attack,Lvl 9+,,,,,,,,,,,Enemies in path (farther),Attack,Damage,30/45/70% AP,—,—,Once,—
Poppy,1 Gold,Tank,AP,Demacia,Yordle,Bastion,,1,Shield Tank,"Throw a projectile at an enemy for damage, then shield self when it returns.",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,1,1,—,—,—,Same to Aim Target,Attack,Damage,160/240/360% AP,—,—,Once,—
,,,,,,,,,,,2,Active,After Step 1,—,Self,Receive Projectile,Self,default,default,1,1,—,—,—,Same to Aim Target,Buff,Shield,250/325/400% AP,—,—,Once,4
Galio,2 Gold,Tank,AP,Demacia,,Invoker,,1,AOE Damage Tank,"Channel for 2s reducing incoming damage and healing self; on finish, deal circular AOE damage.",1,Active,While Channeling,—,Self,Cast,Self,—,—,1,—,—,—,2,Same to Aim Target,Buff,Heal,300/350/400% AP,—,—,Every 0.5s,2
,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Damage Reduction,25/25/35%,—,—,Once,
,,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,200/300/450% AP,—,—,Once,—
Garen,3 Gold,Fighter,AD,Demacia,,Juggernaut,,1,Beyblade Juggernaut,"Spin like a beyblade for 4s, dealing circular AOE damage over time.",1,Active,On Cast,—,Self,Zone AOE,Self,centred,Circle 1 hex,1,1,—,—,4,Enemies in area,Attack,Damage,80/82/85% AD,Per Tick,per spin,Every spin,4
Sona,3 Gold,Mage,AP,Demacia,,Multicaster,,4,AOE Spell Spammer,Send a wave at the clustered enemy; damage falls off per enemy hit. Allies hit are buffed instead.,1,Active,On Cast,—,Self,Pierce Projectile,Clustered,default,Box 1.5x2,4,1,—,—,—,Enemies in path,Attack,Damage,170/255/420% AP,Falloff per hit,−33% per hit,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,,Allies in path,Buff,Attack Speed,20/25/35%,—,—,Once,Permanent
Jarvan IV,4 Gold,Tank,AP,Demacia,,Strategist,,1,AOE Stun Tank,Leap into the clustered enemy; on landing deal circular AOE damage and Stun.,1,Active,On Cast,—,Self,Move,Clustered,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—
